"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_DIALOGUEFW_LANGUAGE_ID","english","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_DIALOGUEFW_REPUTATION","Reputation: %1","Reputation: %1","Reputace: %1","Ruf: %1","Репутация: %1","Reputacja: %1","Hírnév: %1","Reputazione: %1","Reputación: %1","Réputation : %1","聲望：%1","評判：%1","Reputação: %1","声望：%1",
"STR_DIALOGUEFW_QUESTLIST_PROMPT","What do you need done?","What do you need done?","Co potřebuješ udělat?","Was muss erledigt werden?","Что нужно сделать?","Co trzeba zrobić?","Mit kell elintézni?","Cosa c'è da fare?","¿Qué necesitas que haga?","Qu'y a-t-il à faire ?","你需要我做什麼？","何をすればいい？","O que precisa ser feito?","你需要我做什么？",
"STR_DIALOGUEFW_NOQUESTS","Nothing for you right now.","Nothing for you right now.","Teď pro tebe nic nemám.","Im Moment habe ich nichts für dich.","Сейчас для тебя ничего нет.","Na razie nic dla ciebie nie mam.","Most nincs számodra semmi.","Per ora non ho nulla per te.","Ahora mismo no tengo nada para ti.","Rien pour toi pour l'instant.","現在沒什麼可以給你的。","今は何もない。","Nada para você por agora.","现在没什么可以给你的。",
"STR_DIALOGUEFW_ACCEPT","I'll take it.","I'll take it.","Beru to.","Ich mache es.","Я берусь.","Biorę to.","Elvállalom.","Ci penso io.","Lo haré.","Je m'en charge.","我接下了。","引き受ける。","Eu aceito.","我接下了。",
"STR_DIALOGUEFW_DECLINE","Not interested.","Not interested.","Nemám zájem.","Kein Interesse.","Не интересует.","Nie jestem zainteresowany.","Nem érdekel.","Non mi interessa.","No me interesa.","Ça ne m'intéresse pas.","沒興趣。","興味ない。","Não tenho interesse.","没兴趣。",
"STR_DIALOGUEFW_TURNIN","Here you go.","Here you go.","Tady to máš.","Hier, bitte.","Держи.","Proszę bardzo.","Tessék.","Ecco qua.","Aquí tienes.","Tiens, voilà.","給你。","はい、どうぞ。","Aqui está.","给你。",
"STR_DIALOGUEFW_NOTYET","Not yet.","Not yet.","Ještě ne.","Noch nicht.","Ещё нет.","Jeszcze nie.","Még nem.","Non ancora.","Todavía no.","Pas encore.","還沒。","まだだ。","Ainda não.","还没。",
"STR_DIALOGUEFW_INPROGRESS","Still working on it.","Still working on it.","Ještě na tom dělám.","Ich bin noch dran.","Ещё работаю над этим.","Wciąż nad tym pracuję.","Még dolgozom rajta.","Ci sto ancora lavorando.","Todavía estoy en ello.","J'y travaille encore.","還在處理。","まだ途中だ。","Ainda estou nisso.","还在处理。",
"STR_DIALOGUEFW_ANOTHERTIME","Another time, then.","Another time, then.","Tak jindy.","Dann ein andermal.","Тогда в другой раз.","W takim razie innym razem.","Akkor majd máskor.","Un'altra volta, allora.","Entonces en otro momento.","Une autre fois, alors.","那就下次吧。","では、またの機会に。","Fica para outra vez.","那就下次吧。",
"STR_DIALOGUEFW_BACK","Back","Back","Zpět","Zurück","Назад","Wstecz","Vissza","Indietro","Volver","Retour","返回","戻る","Voltar","返回",
"STR_DIALOGUEFW_HEAD_TURNIN","Turn in:","Turn in:","Odevzdat:","Abgeben:","Сдать:","Oddaj:","Leadandó:","Da consegnare:","Entregar:","À remettre :","需要交付：","納品：","Entregar:","需要交付：",
"STR_DIALOGUEFW_HEAD_GIVEN","Given to you:","Given to you:","Dostaneš:","Du erhältst:","Вы получаете:","Otrzymujesz:","Megkapod:","Ricevi:","Recibes:","Vous recevez :","給予你：","支給品：","Você recebe:","给予你：",
"STR_DIALOGUEFW_HEAD_TURNIN_GIVEN","Turn in & given:","Turn in & given:","Odevzdat a dostaneš:","Abgeben & erhalten:","Сдать и получить:","Oddaj i otrzymasz:","Leadandó és kapott:","Da consegnare e ricevuti:","Entregar y recibir:","À remettre et reçus :","交付與給予：","納品と支給：","Entregar e receber:","交付与给予：",
"STR_DIALOGUEFW_HEAD_REWARD","Reward:","Reward:","Odměna:","Belohnung:","Награда:","Nagroda:","Jutalom:","Ricompensa:","Recompensa:","Récompense :","獎勵：","報酬：","Recompensa:","奖励：",
"STR_DIALOGUEFW_OBJITEM_PROMPT","Which will you hand over?","Which will you hand over?","Co odevzdáš?","Was gibst du ab?","Что ты отдашь?","Co oddasz?","Melyiket adod le?","Quale consegni?","¿Cuál vas a entregar?","Lequel vas-tu remettre ?","你要交出哪一個？","どれを渡す？","Qual você vai entregar?","你要交出哪一个？",
"STR_DIALOGUEFW_REWARD_PROMPT","Take your pick.","Take your pick.","Vyber si.","Such dir was aus.","Выбирай.","Wybieraj.","Válassz.","Scegli pure.","Elige.","Fais ton choix.","自己挑吧。","好きなものを選べ。","Escolha.","自己挑吧。",
"STR_DIALOGUEFW_CONFIRM_REWARD","Take %1 x%2 and hand the job in?","Take %1 x%2 and hand the job in?","Vzít %1 x%2 a odevzdat úkol?","%1 x%2 nehmen und den Auftrag abgeben?","Взять %1 x%2 и сдать задание?","Wziąć %1 x%2 i oddać zlecenie?","Elviszed a(z) %1 x%2 jutalmat és leadod a feladatot?","Prendere %1 x%2 e consegnare l'incarico?","¿Coger %1 x%2 y entregar el trabajo?","Prendre %1 x%2 et rendre le travail ?","領取 %1 x%2 並交付任務？","%1 x%2 を受け取って依頼を完了する？","Pegar %1 x%2 e entregar o trabalho?","领取 %1 x%2 并交付任务？",
"STR_DIALOGUEFW_COOLDOWN","Not again yet. Come back in %1.","Not again yet. Come back in %1.","Zatím ne. Vrať se za %1.","Noch nicht wieder. Komm in %1 zurück.","Пока рано. Возвращайся через %1.","Jeszcze nie teraz. Wróć za %1.","Még nem újra. Gyere vissza %1 múlva.","Non ancora. Torna tra %1.","Aún no. Vuelve en %1.","Pas tout de suite. Reviens dans %1.","還不行，%1 後再來。","まだだ。%1 後にまた来い。","Ainda não. Volte em %1.","还不行，%1 后再来。",
"STR_DIALOGUEFW_CONFIRM_YES","Confirm","Confirm","Potvrdit","Bestätigen","Подтвердить","Potwierdź","Megerősítés","Conferma","Confirmar","Confirmer","確認","確認","Confirmar","确认",
"STR_DIALOGUEFW_CONFIRM_NO","Cancel","Cancel","Zrušit","Abbrechen","Отмена","Anuluj","Mégse","Annulla","Cancelar","Annuler","取消","キャンセル","Cancelar","取消",
"STR_DIALOGUEFW_LANG_BUTTON","Language","Language","Jazyk","Sprache","Язык","Język","Nyelv","Lingua","Idioma","Langue","語言","言語","Idioma","语言",
"STR_DIALOGUEFW_LANG_PROMPT","Which language would you like to read this in?","Which language would you like to read this in?","V jakém jazyce to chceš číst?","In welcher Sprache möchtest du das lesen?","На каком языке ты хочешь это читать?","W jakim języku chcesz to czytać?","Milyen nyelven szeretnéd olvasni?","In quale lingua vuoi leggere?","¿En qué idioma quieres leerlo?","Dans quelle langue veux-tu lire ceci ?","你想用哪種語言閱讀？","どの言語で読みますか？","Em que idioma você quer ler isto?","你想用哪种语言阅读？",
"STR_DIALOGUEFW_LANG_AUTO","Automatic","Automatic","Automaticky","Automatisch","Автоматически","Automatycznie","Automatikus","Automatico","Automático","Automatique","自動","自動","Automático","自动",
"STR_DIALOGUEFW_SETTINGS_TITLE","Settings","Settings","Nastavení","Einstellungen","Настройки","Ustawienia","Beállítások","Impostazioni","Ajustes","Paramètres","設定","設定","Definições","设置",
"STR_DIALOGUEFW_SETTINGS_HINT","These are yours alone. They follow you to any server running this mod.","These are yours alone. They follow you to any server running this mod.","Tato nastavení jsou jen tvoje a platí na každém serveru s tímto modem.","Diese Einstellungen gehören nur dir und gelten auf jedem Server mit dieser Mod.","Эти настройки только ваши и действуют на любом сервере с этим модом.","Te ustawienia są tylko twoje i działają na każdym serwerze z tym modem.","Ezek csak a tieid, és minden szerveren érvényesek, ahol fut ez a mod.","Queste impostazioni sono solo tue e valgono su ogni server con questa mod.","Estos ajustes son solo tuyos y se aplican en cualquier servidor con este mod.","Ces paramètres sont les vôtres et s'appliquent sur tout serveur avec ce mod.","這些設定僅屬於你，並在任何使用此模組的伺服器上生效。","この設定はあなた専用で、このMODを使うどのサーバーでも有効です。","Estas definições são só suas e aplicam-se em qualquer servidor com este mod.","这些设置仅属于你，并在任何使用此模组的服务器上生效。",
"STR_DIALOGUEFW_SET_POSITION","Window position","Window position","Umístění okna","Fensterposition","Положение окна","Pozycja okna","Ablak helye","Posizione finestra","Posición de la ventana","Position de la fenêtre","視窗位置","ウィンドウの位置","Posição da janela","窗口位置",
"STR_DIALOGUEFW_SET_TEXTSIZE","Text size","Text size","Velikost textu","Textgröße","Размер текста","Rozmiar tekstu","Szövegméret","Dimensione del testo","Tamaño del texto","Taille du texte","文字大小","文字サイズ","Tamanho do texto","文字大小",
"STR_DIALOGUEFW_SET_ICONS","Button icons","Button icons","Ikony tlačítek","Schaltflächensymbole","Значки кнопок","Ikony przycisków","Gomb ikonok","Icone dei pulsanti","Iconos de los botones","Icônes des boutons","按鈕圖示","ボタンアイコン","Ícones dos botões","按钮图标",
"STR_DIALOGUEFW_SET_RESET","Reset to the server's settings","Reset to the server's settings","Obnovit nastavení serveru","Auf Servereinstellungen zurücksetzen","Вернуть настройки сервера","Przywróć ustawienia serwera","Vissza a szerver beállításaira","Ripristina le impostazioni del server","Restablecer los ajustes del servidor","Rétablir les paramètres du serveur","重設為伺服器設定","サーバー設定に戻す","Repor as definições do servidor","重置为服务器设置",
"STR_DIALOGUEFW_SET_BACK","Back to the conversation","Back to the conversation","Zpět do rozhovoru","Zurück zum Gespräch","Вернуться к разговору","Wróć do rozmowy","Vissza a beszélgetéshez","Torna alla conversazione","Volver a la conversación","Retour à la conversation","返回對話","会話に戻る","Voltar à conversa","返回对话",
"STR_DIALOGUEFW_SET_SERVER","server's choice","server's choice","volba serveru","Servervorgabe","выбор сервера","ustawienie serwera","szerver beállítása","scelta del server","elección del servidor","choix du serveur","伺服器設定","サーバー設定","escolha do servidor","服务器设置",
"STR_DIALOGUEFW_SET_ON","shown","shown","zobrazeno","sichtbar","показаны","widoczne","látható","mostrate","visibles","affichées","顯示","表示","visíveis","显示",
